Striker,Season,Venue,Batting Team,total_runs,balls_faced,strike_rate,Bowler,Bowling Team,total_wickets,total_runs_conceded,balls_bowled,economy_rate
MP Stoinis,24,"Arun Jaitley Stadium, Delhi",Lucknow Super Giants,5,7,71.42857143,0,0,0,0,0,0
MP Stoinis,24,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,191,146,130.8219178,MP Stoinis,Lucknow Super Giants,3,68,55,7.418181818
MP Stoinis,24,"Eden Gardens, Kolkata",Lucknow Super Giants,10,5,200,0,0,0,0,0,0
MP Stoinis,24,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,24,15,160,MP Stoinis,Lucknow Super Giants,1,4,7,3.428571429
MP Stoinis,24,"MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,124,65,190.7692308,MP Stoinis,Lucknow Super Giants,0,49,25,11.76
MP Stoinis,24,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,3,5,60,0,0,0,0,0,0
MP Stoinis,24,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,3,4,75,0,0,0,0,0,0
MP Stoinis,24,"Wankhede Stadium, Mumbai",Lucknow Super Giants,28,25,112,0,0,0,0,0,0
0,24,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,0,0,0,MP Yadav,Lucknow Super Giants,4,71,52,8.192307692
0,24,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,MP Yadav,Lucknow Super Giants,3,14,24,3.5
MR Marsh,10,"Arun Jaitley Stadium, Delhi",Deccan Chargers,13,19,68.42105263,MR Marsh,Deccan Chargers,1,19,13,8.769230769
MR Marsh,10,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Deccan Chargers,15,12,125,MR Marsh,Deccan Chargers,0,32,24,8
0,10,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,MR Marsh,Deccan Chargers,1,37,27,8.222222222
0,11,"Arun Jaitley Stadium, Delhi",0,0,0,0,MR Marsh,Pune Warriors,1,11,13,5.076923077
MR Marsh,11,"Dr DY Patil Sports Academy, Mumbai",Pune Warriors,48,44,109.0909091,MR Marsh,Pune Warriors,0,37,25,8.88
MR Marsh,11,"Punjab Cricket Association IS Bindra Stadium, Mohali",Pune Warriors,2,6,33.33333333,MR Marsh,Pune Warriors,2,26,24,6.5
0,11,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,0,0,0,MR Marsh,Pune Warriors,4,25,24,6.25
MR Marsh,13,"M Chinnaswamy Stadium, Bengaluru",Pune Warriors,24,24,100,MR Marsh,Pune Warriors,1,56,19,17.68421053
MR Marsh,13,"MA Chidambaram Stadium, Chepauk, Chennai",Pune Warriors,2,4,50,MR Marsh,Pune Warriors,2,35,25,8.4
MR Marsh,13,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors,14,13,107.6923077,MR Marsh,Pune Warriors,1,26,25,6.24
MR Marsh,13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pune Warriors,7,3,233.3333333,0,0,0,0,0,0
MR Marsh,13,"Sawai Mansingh Stadium, Jaipur",Pune Warriors,35,22,159.0909091,0,0,0,0,0,0
MR Marsh,13,Subrata Roy Sahara Stadium,Pune Warriors,20,17,117.6470588,MR Marsh,Pune Warriors,2,41,40,6.15
MR Marsh,13,"Wankhede Stadium, Mumbai",Pune Warriors,38,26,146.1538462,MR Marsh,Pune Warriors,1,24,13,11.07692308
0,16,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,0,0,0,MR Marsh,Rising Pune Supergiant,2,14,24,3.5
MR Marsh,16,Saurashtra Cricket Association Stadium,Rising Pune Supergiant,7,11,63.63636364,MR Marsh,Rising Pune Supergiant,0,10,6,10
